rank,model_id,model_name,avg_agentic_coding_score,benchmark_coverage,swe_bench_verified_pct,livecodebench_pct,swerebench_pct,arena_elo_coding,arena_elo
27,o3-mini-high,OpenAI: o3 Mini High,70.82554195754437,2,,73.4,,1380.0,1338.0
28,gemini-3-pro-preview,Google: Gemini 3 Pro Preview,70.81707212332901,3,74.2,91.7,46.7,,
29,claude-4-5-sonnet,Claude 4.5 Sonnet,70.59999999999998,1,70.6,,,,
30,nvidia-nemotron-nano-9b-v2,NVIDIA: Nemotron Nano 9B V2 (free),70.09999999999998,1,,70.1,,,
31,grok-3-mini,Grok 3 Mini,69.60000000000001,2,,69.6,,,
32,allenai-olmo-3-1-32b-think,AllenAI: Olmo 3.1 32B Think,69.49999999999997,1,,69.5,,,
33,gemini-2-5-flash-lite-preview-09-2025-thinking,Gemini 2.5 Flash Lite Preview (09/2025) – Thinking,68.79999999999998,1,,68.8,,,
34,minimax-m2,minimax-m2,68.54322463092696,2,61.0,82.6,,,
35,o3-mini,OpenAI: o3 Mini,68.2655850177883,2,,71.7,,1361.0,1318.0
36,o1,OpenAI: o1,67.89999999999999,2,,67.9,,,
37,claude-4-opus,Claude Opus 4,67.6,1,67.6,,,,
38,gpt-5-2-codex,OpenAI: GPT-5.2-Codex,67.42117279529427,3,72.8,82.4,45.0,,
39,gpt-5-mini,OpenAI: GPT-5 Mini,67.1455016036082,3,56.2,83.8,,1419.0,1375.0
40,qwen3-vl-235b-a22b-instruct,Qwen3 VL 235B A22B Instruct,67.11327940594295,2,,59.4,,1457.0,1429.0
41,claude-4-5-haiku,Claude 4.5 Haiku,66.6,1,66.6,,,,
42,o3,OpenAI: o3,66.16724383256802,2,58.4,80.8,,,
43,gemini-2-5-pro,Google: Gemini 2.5 Pro,66.09136800215045,3,53.6,80.1,,1465.0,1460.0
44,gpt-5-1-2025-11-13,GPT-5.1 (2025-11-13),65.99999999999997,1,66.0,,,,
45,grok-code-fast-1,Grok Code Fast 1,65.70000000000002,1,,65.7,,,
46,claude-sonnet-4-thinking,Claude 4 Sonnet Thinking (64K),65.50000000000003,1,,65.5,,,
47,ernie-5-0-thinking-latest,Ernie 5.0 Thinking,65.29999999999998,1,,65.3,,,
48,minimax-m1,MiniMax M1,65.25352378274991,2,,65.7,,1369.0,1351.0
49,claude-opus-4-5,Anthropic: Claude Opus 4.5,65.1960547695707,3,,73.8,43.8,1496.0,1462.0
50,gpt-5-2025-08-07,gpt-5-2025-08-07,64.99999999999999,1,65.0,,,,
51,claude-4-0-sonnet,Claude 4.0 Sonnet,64.92999999999999,1,64.93,,,,
52,glm-5,GLM-5,64.58947221378497,3,72.8,,42.1,1461.0,1452.0
53,kimi-k2-5,Kimi K2.5,64.49477924655716,4,70.8,85.0,37.9,,1447.0
54,gpt-5-1-codex,OpenAI: GPT-5.1-Codex,64.22281818385954,3,66.0,84.9,42.9,,
55,minimax-m2-5,MiniMax-M2.5,64.11920814420687,3,75.8,,39.6,1436.0,1408.0
56,gemini-2-5-flash-lite-preview-09-2025,Google: Gemini 2.5 Flash Lite Preview 09-2025,64.09999999999998,2,,64.1,,,
57,gpt-5-2-2025-12-11,gpt-5-2-2025-12-11,64.06286466260791,2,71.8,,51.0,,
58,claude-opus-4-thinking,Claude 4 Opus Thinking,63.599999999999994,1,,63.6,,,
59,gemini-3-flash-preview,Google: Gemini 3 Flash Preview,62.84697050995431,2,,79.7,46.7,,
60,allenai-olmo-3-32b-think,AllenAI: Olmo 3 32B Think,62.779371773072505,2,,67.2,,1327.0,1306.0
61,allenai-olmo-3-7b-think,AllenAI: Olmo 3 7B Think,61.7,1,,61.7,,,
62,kimi-k2-0905,Kimi-K2-0905,61.00000000000001,1,,61.0,,,
63,kimi-k2-thinking,kimi-k2-thinking,60.307765792463826,3,63.4,,43.8,1450.0,1438.0
64,claude-opus-4,Anthropic: Claude Opus 4,60.21957340412157,2,,54.2,,1405.0,1366.0
65,deepseek-v3-2,DeepSeek-V3.2-Exp,60.13071886114806,4,70.0,59.3,37.5,1431.0,1418.0
66,deepseek-reasoner,DeepSeek Reasoner,59.999999999999986,1,60.0,,,,
67,claude-haiku-4-5,Anthropic: Claude Haiku 4.5,59.8892736339012,2,,51.1,,1436.0,1378.0
68,claude-sonnet-4-5,Anthropic: Claude Sonnet 4.5,59.72693732904148,3,,59.0,47.1,1464.0,1420.0
69,gpt-5-1,OpenAI: GPT-5.1,59.42276473136001,2,,49.4,,1450.0,1440.0
70,gemini-2-5-flash-nothinking,Gemini 2.5 Flash (No Thinking),59.300000000000004,1,,59.3,,,
71,qwen3-coder-30b-a3b,Qwen3-Coder 30B-A3B,58.50000000000001,1,,58.5,,,
72,minimax-m2-1,minimax-m2.1,58.467699123180196,3,,81.0,31.7,1430.0,1399.0
73,o4-mini,OpenAI: o4 Mini,57.703887368541345,2,45.0,85.9,,,
74,devstral-small,Mistral: Devstral Small 1.1,56.400000000000006,1,56.4,,,,
75,glm-4-7,GLM-4.7,55.88520543174437,3,,56.2,41.3,1460.0,1445.0
76,gpt-5,OpenAI: GPT-5,55.79999999999998,1,,55.8,,,
77,kimi-k2-0711,Kimi K2 (07/11),55.59999999999998,1,,55.6,,,
78,deepseek-v3-1,DeepSeek-V3.1,55.41842460197821,2,,57.7,,1306.0,1275.0
79,deepseek-v3-2-exp,DeepSeek V3.2 Exp,55.39999999999999,1,,55.4,,,
80,nousresearch-hermes-4-14b,Hermes 4 14B,54.599999999999994,1,,54.6,,,
81,qwen3-235b-a22b-thinking,Qwen3 235B A22B Thinking,54.599999999999994,1,,54.6,,,
82,glm-4-5-air,GLM-4.5-Air,53.81732786517024,3,,68.4,31.8,1410.0,1386.0
83,devstral-2,devstral-2:123b,53.79999999999999,1,53.8,,,,
84,deepseek-r1,DeepSeek-R1,53.552850249703056,3,49.2,,,1382.0,1373.0
85,alibaba-qwen3-max-thinking,Qwen 3 Max Thinking,53.5,1,,53.5,,,
86,deepseek-v3-1-terminus,DeepSeek V3.1 Terminus,52.899999999999984,1,,52.9,,,
87,poetools-claude-code,claude-code,52.899999999999984,1,,,52.9,,
88,gpt-5-nano,OpenAI: GPT-5 Nano,52.55380321712147,2,,47.0,,1363.0,1333.0
89,claude-sonnet-4,Anthropic: Claude Sonnet 4,52.328723058480456,2,,44.9,,1384.0,1335.0
90,grok-4-fast,Grok 4 Fast,51.71801875784902,2,,40.1,,1441.0,1419.0
91,devstral-2512,Mistral: Devstral 2 2512,51.394298794896486,2,56.0,44.8,,,
92,mistral-medium-3-1,Mistral: Mistral Medium 3.1,50.63935048878461,2,,40.6,,1412.0,1402.0
93,qwen3-vl-30b-a3b-thinking,Qwen3-Vl 30b A3b Thinking,50.6,1,,50.6,,,
94,qwen3-coder-480b-a35b-instruct,Qwen3 Coder 480B A35B Instruct,50.30274122383372,3,55.4,,31.7,1406.0,1358.0
95,mimo-v2-flash,MiMo-V2-Flash,50.27491771322748,2,,40.2,,1411.0,1401.0
96,claude-3-7-sonnet,Anthropic: Claude 3.7 Sonnet,49.177449478233015,3,52.8,39.4,,1341.0,1301.0
97,glm-4-5,GLM-4.5,49.16300690600849,2,54.2,,,1237.0,1230.0
98,gpt-5-1-codex-max,OpenAI: GPT-5.1-Codex-Max,48.49999999999999,1,,,48.5,,
99,gpt-5-mini-2025-08-07,gpt-5-mini-2025-08-07,47.934811972228644,2,59.8,,30.8,,
100,qwen-qwen3-vl-30b-a3b-instruct,Qwen: Qwen3 VL 30B A3B Instruct,47.60000000000001,1,,47.6,,,
101,gemini-2-5-flash-lite,Google: Gemini 2.5 Flash Lite,47.45817052296965,2,,40.0,,1362.0,1337.0
102,claude-3-7-sonnet-thinking,Claude 3.7 Sonnet Thinking (128K),47.3,1,,47.3,,,
103,glm-4-6,GLM-4.6,47.29499120623104,4,55.4,56.1,37.1,1209.0,1198.0
104,baidu-ernie-4-5-300b-a47b-paddle,ERNIE 4.5 300B A47B,46.699999999999996,1,,46.7,,,
105,deepseek-v3-0324,DeepSeek-V3-0324,45.85515770915038,3,,35.9,,1391.0,1377.0
106,qwen3-235b-a22b-instruct-2507,Qwen3 235b A22B Instruct 2507,45.085993447364224,3,,52.4,23.8,1457.0,1418.0
107,qwen3-235b-a22b,Qwen 3 235B A22B,44.713159307786796,2,,34.3,,1394.0,1369.0
108,qwen3-next-80b-a3b-instruct,Qwen3 Next 80B A3B Instruct,43.5486937204874,3,,68.4,15.4,1456.0,1417.0
109,claude-3-5-sonnet,Anthropic: Claude 3.5 Sonnet,42.94251604582779,2,,38.1,,1309.0,1283.0
110,grok-3,Grok 3,42.50000000000001,2,,42.5,,,
111,qwq-32b,Qwen: QwQ 32B,42.06933653969835,3,,33.7,,1351.0,1332.0
112,gpt-4-1,OpenAI: GPT-4.1,41.83033399777164,2,39.58,45.7,,,
113,glm-4-6v,GLM-4.6V,41.10000000000001,1,,41.1,,,
114,gemini-2-5-flash,Google: Gemini 2.5 Flash,40.74616423640275,3,28.73,49.5,,1420.0,1412.0
115,qwen3-30b-a3b,Qwen3 30B A3B,40.63384874197421,2,,32.2,,1346.0,1320.0
116,alibaba-qwen3-vl-thinking,Qwen3 VL Thinking,40.60000000000001,1,,40.6,,,
117,kimi-k2-instruct,Kimi K2 Instruct,40.3720479459079,2,43.8,,34.3,,
118,qwen3-coder-next,Qwen3 Coder Next,40.0,1,,,40.0,,
119,grok-4-1-fast,Grok 4.1 Fast,39.9,1,,39.9,,,
120,llama-4-maverick,Meta Llama 4 Maverick 17B 128E,39.7,1,,39.7,,,
121,qwen3-32b,Qwen3-32B,39.28891933176167,2,,28.8,,1376.0,1342.0
122,gpt-oss-120b,OpenAI: gpt-oss-120b (free),38.338293395156576,4,26.0,70.7,24.6,1398.0,1368.0
123,deepseek-r1-0528,DeepSeek-R1-0528,37.553177141165115,3,,,21.7,1436.0,1426.0
124,devstral-2-123b-instruct-2512,Devstral-2-123B-Instruct-2512,37.5,1,,,37.5,,
125,command-a,Cohere: Command A,37.33157113836554,2,,28.7,,1336.0,1327.0
126,claude-3-5-haiku,Anthropic: Claude 3.5 Haiku,36.81219893057036,2,,31.4,,1287.0,1256.0
127,nvidia-llama-3-3-nemotron-super-49b-v1,Llama 3.3 Nemotron Super 49b V1,36.7753321646128,2,,29.0,,1320.0,1310.0
128,llama-3-1-405b-instruct,Llama 3.1 405B Instruct,36.43209313537063,2,,30.5,,1292.0,1284.0
129,nvidia-nvidia-nemotron-3-nano-30b-a3b,Nemotron-3-Nano-30B-A3B,36.0,1,,36.0,,,
130,glm-4-5v,GLM-4.5V,35.199999999999996,1,,35.2,,,
131,ministral-14b-2512,Mistral: Ministral 3 14B 2512,35.099999999999994,1,,35.1,,,
132,mistral-large-2411,Mistral Large 2411,35.08626041049135,3,,29.3,,1284.0,1269.0
133,gpt-5-nano-2025-08-07,gpt-5-nano-2025-08-07,34.8,1,34.8,,,,
134,nvidia-nemotron-nano-12b-v2-vl,NVIDIA: Nemotron Nano 12B 2 VL (free),34.50000000000001,1,,34.5,,,
135,llama-3-3-70b-instruct,Llama-3.3-70B-Instruct,34.43202893991029,2,,28.8,,1279.0,1276.0
136,qwen-max,Qwen Max,34.40743699540466,3,,35.9,,1208.0,1199.0
137,devstral-medium,Mistral: Devstral Medium,33.7,1,,33.7,,,
138,mistral-medium-3,Mistral: Mistral Medium 3,33.434611614729526,2,,40.0,,1172.0,1171.0
139,alibaba-qwen3-vl-instruct,Qwen3 VL Instruct,33.20000000000001,1,,33.2,,,
140,gpt-4-1-nano,OpenAI: GPT-4.1 Nano,32.599999999999994,1,,32.6,,,
141,devstral-small-2-24b-instruct-2512,Devstral Small 2 24B Instruct 2512,32.1,1,,,32.1,,
142,mistral-small-2506,Mistral Small 3.2,31.875885427198433,2,,21.2,,1361.0,1337.0
143,gpt-4-1-mini,OpenAI: GPT-4.1 Mini,31.359111953008014,2,23.94,48.3,,,
144,ministral-3b-2512,Mistral: Ministral 3 3B 2512,30.299999999999997,1,,30.3,,,
145,mistral-small-24b-instruct-2501,Mistral: Mistral Small 3,30.170080769769765,2,,25.2,,1251.0,1238.0
146,llama-4-scout,Meta Llama 4 Scout 17B 16E,29.89999999999999,1,,29.9,,,
147,llama-3-1-70b-instruct,llama-3-1-70b-instruct,29.531867073167806,3,,23.2,,1268.0,1265.0
148,sonar,Perplexity: Sonar,29.500000000000004,2,,29.5,,,
149,qwen3-30b-a3b-instruct-2507,Qwen3 30b A3b Instruct 2507,29.304366489784957,3,,51.5,7.1,1425.0,1382.0
150,gpt-4-turbo,OpenAI: GPT-4 Turbo,29.1,1,,29.1,,,
151,qwen2-5-72b-instruct,Qwen2.5 72B Instruct,29.055270115542594,3,,27.6,,1206.0,1208.0
152,gemini-2-0-flash-lite,Gemini 2.0 Flash Lite,28.44548825168994,2,,18.5,,1338.0,1330.0
153,qwen3-coder-30b-a3b-instruct,Qwen3-Coder 30B-A3B Instruct,28.16663901669251,2,,40.3,18.0,,
154,phi-4,Phi-4,28.088972287209618,3,,23.1,,1242.0,1222.0
155,qwen3-14b,Qwen3 14B,27.999999999999996,1,,28.0,,,
156,magistral-small-2509,Magistral Small 1.2 24B,27.500000000000004,2,,27.5,,,
157,sonar-pro,Perplexity: Sonar Pro,27.500000000000004,2,,27.5,,,
158,deepseek-r1-distill-qwen-32b,DeepSeek R1 Distill Qwen 32B,27.0,2,,27.0,,,
159,nousresearch-2-hermes-3-llama-3-1-70b,Hermes 3 70B,26.89999999999999,1,,26.9,,,
160,mistral-large-2407,Mistral Large 2407,26.699999999999996,3,,26.7,,,70.42
161,deepseek-r1-distill-llama-70b,DeepSeek R1 Distill Llama 70B,26.60000000000001,2,,26.6,,,
162,pixtral-large-2411,Mistral: Pixtral Large 2411,26.1,1,,26.1,,,
163,glm-4-7-flash,GLM-4.7-Flash,25.399999999999995,1,,,25.4,,
164,mistral-devstral-small,Devstral Small 1.1,25.399999999999995,1,,25.4,,,
165,qwen2-5-vl-72b-instruct,Qwen 2.5 VL 72B Instruct,24.8,1,,24.8,,,
166,gpt-4o-mini,OpenAI: GPT-4o-mini,23.400000000000002,1,,23.4,,,
167,meta-llama3-70b-instruct-v1,Llama 3 70B Instruct,23.39169560094986,2,,18.8,,1216.0,1224.0
168,qwen3-4b,Venice Small,23.299999999999997,1,,23.3,,,
169,gemma-3n-e4b-it,Google: Gemma 3n 4B (free),23.165105716345046,2,,14.6,,1297.0,1304.0
170,nvidia-llama-3-1-nemotron-51b-instruct,Llama 3.1 Nemotron 51b Instruct,22.414603587090227,3,,16.9,,1227.0,1231.0
171,gpt-4o,OpenAI: GPT-4o,21.619999999999997,1,21.62,,,,
172,meta-llama4-maverick-17b-instruct-v1,Llama 4 Maverick 17B Instruct,21.04,1,21.04,,,,
173,claude-3-haiku,Anthropic: Claude 3 Haiku,20.273033753710607,2,,15.4,,1208.0,1200.0
174,qwen3-8b,Qwen3 8B,20.200000000000003,1,,20.2,,,
175,gemini-2-0-flash,Gemini 2.0 Flash,19.144410138016827,3,13.52,33.4,,,
176,gemma-3-4b-it,Google: Gemma 3 4B (free),18.636990857526392,3,,11.2,,1265.0,1293.0
177,jamba-large-1-7,Jamba Large 1.7,18.1,1,,18.1,,,
178,mistral-large,Mistral Large,17.8,2,,17.8,,,
179,qwen2-5-coder-32b-instruct,Qwen2.5-Coder-32B-Instruct,17.736249506208978,4,9.0,29.5,,1279.0,1235.0
180,amazon-nova-lite,Nova Lite,16.700000000000003,1,,16.7,,,
181,qwen-turbo,Qwen-Turbo,16.300000000000004,1,,16.3,,,
182,llama-3-1-8b-instruct,Llama 3.1 8B Instruct,16.277538968633593,2,,11.6,,1191.0,1158.0
183,glm-4-1v-thinking-flash,GLM 4.1V Thinking Flash,15.999999999999998,1,,16.0,,,
184,liquid-lfm2-8b-a1b,LiquidAI: LFM2-8B-A1B,15.100000000000003,1,,15.1,,,
185,mixtral-8x22b-instruct,Mistral: Mixtral 8x22B Instruct,14.799999999999997,1,,14.8,,,
186,nova-pro-v1,Nova Pro 1.0,13.999999999999996,1,,14.0,,,
187,gemma-3-27b,Gemma 3 27B,13.7,1,,13.7,,,
188,meta-llama3-8b-instruct,Llama3 8b Instruct,13.362126597569105,2,,9.6,,1164.0,1171.0
189,qwen2-5-coder-7b-instruct,Qwen2.5-Coder 7B Instruct,12.599999999999996,1,,12.6,,,
190,llama-3-2-11b-vision-instruct,Llama-3.2-11B-Vision-Instruct,11.000000000000002,1,,11.0,,,
191,meta-llama-llama-4-scout-17b-16e-instruct,Llama 4 Scout Instruct,9.059999999999999,1,9.06,,,,
192,allenai-olmo-3-1-32b-instruct,AllenAI: Olmo 3.1 32B Instruct,6.800000000000001,1,,6.8,,,
193,mixtral-8x7b-instruct,Mistral: Mixtral 8x7B Instruct,6.599999999999999,1,,6.6,,,
194,meta-llama3-2-11b-instruct-v1,Llama 3.2 11B Instruct,2.204009110024685,3,,1.9,,1063.0,1067.0
195,*-1-month-commitment-cohere-command-light-text-v14,*-1-month-commitment-cohere-command-light-text-v14,,0,,,,,
196,*-1-month-commitment-cohere-command-text-v14,*-1-month-commitment-cohere-command-text-v14,,0,,,,,
197,*-6-month-commitment-cohere-command-light-text-v14,*-6-month-commitment-cohere-command-light-text-v14,,0,,,,,
198,*-6-month-commitment-cohere-command-text-v14,*-6-month-commitment-cohere-command-text-v14,,0,,,,,
199,1024-x-1024-50-steps-bedrock-amazon-nova-canvas-v1,1024-x-1024-50-steps-bedrock-amazon-nova-canvas-v1,,0,,,,,
200,1024-x-1024-50-steps-stability-stable-diffusion-xl-v1,1024-x-1024-50-steps-stability-stable-diffusion-xl-v1,,0,,,,,
201,1024-x-1024-dall-e-2,1024-x-1024-dall-e-2,,0,,,,,
202,1024-x-1024-gpt-image-1-5,1024-x-1024-gpt-image-1-5,,0,,,,,
203,1024-x-1024-gpt-image-1-5-2025-12-16,1024-x-1024-gpt-image-1-5-2025-12-16,,0,,,,,
204,1024-x-1024-max-steps-stability-stable-diffusion-xl-v1,1024-x-1024-max-steps-stability-stable-diffusion-xl-v1,,0,,,,,
205,1024-x-1536-gpt-image-1-5,1024-x-1536-gpt-image-1-5,,0,,,,,
206,1024-x-1536-gpt-image-1-5-2025-12-16,1024-x-1536-gpt-image-1-5-2025-12-16,,0,,,,,
207,1536-x-1024-gpt-image-1-5,1536-x-1024-gpt-image-1-5,,0,,,,,
208,1536-x-1024-gpt-image-1-5-2025-12-16,1536-x-1024-gpt-image-1-5-2025-12-16,,0,,,,,
209,256-x-256-dall-e-2,256-x-256-dall-e-2,,0,,,,,
210,512-x-512-50-steps-stability-stable-diffusion-xl-v0,512-x-512-50-steps-stability-stable-diffusion-xl-v0,,0,,,,,
211,512-x-512-dall-e-2,512-x-512-dall-e-2,,0,,,,,
212,512-x-512-max-steps-stability-stable-diffusion-xl-v0,512-x-512-max-steps-stability-stable-diffusion-xl-v0,,0,,,,,
213,@cf-ai4bharat-indictrans2-en-indic-1b,IndicTrans2 EN-Indic 1B,,0,,,,,
214,@cf-aisingapore-gemma-sea-lion-v4-27b-it,Gemma SEA-LION v4 27B IT,,0,,,,,
215,@cf-baai-bge-base-en-v1-5,BGE Base EN v1.5,,0,,,,,
216,@cf-baai-bge-large-en-v1-5,BGE Large EN v1.5,,0,,,,,
217,@cf-baai-bge-m3,BGE M3,,0,,,,,
218,@cf-baai-bge-reranker-base,BGE Reranker Base,,0,,,,,
219,@cf-baai-bge-small-en-v1-5,BGE Small EN v1.5,,0,,,,,
220,@cf-deepgram-aura-2-en,Deepgram Aura 2 (EN),,0,,,,,
221,@cf-deepgram-aura-2-es,Deepgram Aura 2 (ES),,0,,,,,
222,@cf-deepgram-nova-3,Deepgram Nova 3,,0,,,,,
223,@cf-deepseek-ai-deepseek-r1-distill-qwen-32b,DeepSeek R1 Distill Qwen 32B,,0,,,,,
224,@cf-facebook-bart-large-cnn,BART Large CNN,,0,,,,,
225,@cf-google-gemma-3-12b-it,Gemma 3 12B IT,,0,,,,,
226,@cf-huggingface-distilbert-sst-2-int8,DistilBERT SST-2 INT8,,0,,,,,
227,@cf-ibm-granite-granite-4-0-h-micro,IBM Granite 4.0 H Micro,,0,,,,,
228,@cf-meta-llama-2-7b-chat-fp16,Llama 2 7B Chat FP16,,0,,,,,
229,@cf-meta-llama-2-7b-chat-int8,@cf-meta-llama-2-7b-chat-int8,,0,,,,,
230,@cf-meta-llama-3-1-8b-instruct,Llama 3.1 8B Instruct,,0,,,,,
231,@cf-meta-llama-3-1-8b-instruct-awq,Llama 3.1 8B Instruct AWQ,,0,,,,,
232,@cf-meta-llama-3-1-8b-instruct-fp8,Llama 3.1 8B Instruct FP8,,0,,,,,
233,@cf-meta-llama-3-2-11b-vision-instruct,Llama 3.2 11B Vision Instruct,,0,,,,,
234,@cf-meta-llama-3-2-1b-instruct,Llama 3.2 1B Instruct,,0,,,,,
235,@cf-meta-llama-3-2-3b-instruct,Llama 3.2 3B Instruct,,0,,,,,
236,@cf-meta-llama-3-3-70b-instruct-fp8-fast,Llama 3.3 70B Instruct FP8 Fast,,0,,,,,
237,@cf-meta-llama-3-8b-instruct,Llama 3 8B Instruct,,0,,,,,
238,@cf-meta-llama-3-8b-instruct-awq,Llama 3 8B Instruct AWQ,,0,,,,,
239,@cf-meta-llama-4-scout-17b-16e-instruct,Llama 4 Scout 17B 16E Instruct,,0,,,,,
240,@cf-meta-llama-guard-3-8b,Llama Guard 3 8B,,0,,,,,
241,@cf-meta-m2m100-1-2b,M2M100 1.2B,,0,,,,,
242,@cf-mistral-mistral-7b-instruct-v0-1,Mistral 7B Instruct v0.1,,0,,,,,
243,@cf-mistralai-mistral-small-3-1-24b-instruct,Mistral Small 3.1 24B Instruct,,0,,,,,
244,@cf-myshell-ai-melotts,MyShell MeloTTS,,0,,,,,
245,@cf-openai-gpt-oss-120b,GPT OSS 120B,,0,,,,,
246,@cf-openai-gpt-oss-20b,GPT OSS 20B,,0,,,,,
247,@cf-pfnet-plamo-embedding-1b,PLaMo Embedding 1B,,0,,,,,
248,@cf-pipecat-ai-smart-turn-v2,Pipecat Smart Turn v2,,0,,,,,
249,@cf-qwen-qwen2-5-coder-32b-instruct,Qwen 2.5 Coder 32B Instruct,,0,,,,,
250,@cf-qwen-qwen3-30b-a3b-fp8,Qwen3 30B A3B FP8,,0,,,,,
251,@cf-qwen-qwen3-embedding-0-6b,Qwen3 Embedding 0.6B,,0,,,,,
252,@cf-qwen-qwq-32b,QwQ 32B,,0,,,,,
253,@cf-zai-org-glm-4-7-flash,GLM-4.7-Flash,,0,,,,,
254,@hf-thebloke-codellama-7b-instruct-awq,@hf-thebloke-codellama-7b-instruct-awq,,0,,,,,
255,abacusai-dracarys-72b-instruct,Llama 3.1 70B Dracarys 2,,1,,,,,
256,accounts-fireworks-models-deepseek-v3p1,DeepSeek V3.1,,0,,,,,
257,accounts-fireworks-models-deepseek-v3p2,DeepSeek V3.2,,0,,,,,
258,accounts-fireworks-models-glm-4p5,GLM 4.5,,0,,,,,
259,accounts-fireworks-models-glm-4p5-air,GLM 4.5 Air,,0,,,,,
260,accounts-fireworks-models-glm-4p7,GLM 4.7,,0,,,,,
261,accounts-fireworks-models-glm-5,GLM 5,,0,,,,,
262,accounts-fireworks-models-gpt-oss-120b,GPT OSS 120B,,0,,,,,
263,accounts-fireworks-models-gpt-oss-20b,GPT OSS 20B,,0,,,,,
264,accounts-fireworks-models-kimi-k2-instruct,Kimi K2 Instruct,,0,,,,,
265,accounts-fireworks-models-kimi-k2-thinking,Kimi K2 Thinking,,0,,,,,
266,accounts-fireworks-models-kimi-k2p5,Kimi K2.5,,0,,,,,
267,accounts-fireworks-models-minimax-m2p1,MiniMax-M2.1,,0,,,,,
268,accounts-fireworks-models-minimax-m2p5,MiniMax-M2.5,,0,,,,,
269,ada,ada,,0,,,,,
270,ai21-j2-mid-v1,ai21-j2-mid-v1,,0,,,,,
271,ai21-j2-ultra-v1,ai21-j2-ultra-v1,,0,,,,,
272,ai21-jamba-1-5-large-v1,Jamba 1.5 Large,,0,,,,,
273,ai21-jamba-1-5-mini-v1,Jamba 1.5 Mini,,0,,,,,
274,ai21-jamba-instruct-v1,ai21-jamba-instruct-v1,,0,,,,,
275,ai21-jamba-large-1-7,AI21: Jamba Large 1.7,,0,,,,,
276,ai21-labs-ai21-jamba-1-5-large,AI21 Jamba 1.5 Large,,0,,,,,
277,ai21-labs-ai21-jamba-1-5-mini,AI21 Jamba 1.5 Mini,,0,,,,,
278,aiml-dall-e-2,aiml-dall-e-2,,0,,,,,
279,aiml-dall-e-3,aiml-dall-e-3,,0,,,,,
280,aiml-flux-dev,aiml-flux-dev,,0,,,,,
281,aiml-flux-kontext-max-text-to-image,aiml-flux-kontext-max-text-to-image,,0,,,,,
282,aiml-flux-kontext-pro-text-to-image,aiml-flux-kontext-pro-text-to-image,,0,,,,,
