rank,model_id,provider_name,provider_model_id,provider_score,avg_tps,avg_ttft_ms,input_cost_per_token,output_cost_per_token,is_free_tier,free_tier_quality,avg_agentic_coding_score
99,claude-sonnet-4-6,vercel,anthropic/claude-sonnet-4.6,77.2738795516267,,,3e-06,1.5e-05,0,,77.2738795516267
100,claude-sonnet-4-6,nano-gpt,anthropic/claude-sonnet-4.6:thinking,77.2738795516267,,,2.992e-06,1.4993999999999997e-05,0,,77.2738795516267
101,claude-sonnet-4-6,nano-gpt,anthropic/claude-sonnet-4.6,77.2738795516267,,,2.992e-06,1.4993999999999997e-05,0,,77.2738795516267
102,gemini-2-5-pro-preview-05-06,openrouter,google/gemini-2.5-pro-preview-05-06,77.00000000000001,,,1.25e-06,1e-05,0,,77.00000000000001
103,gemini-2-5-pro-preview-05-06,google-vertex,gemini-2.5-pro-preview-05-06,77.00000000000001,,,1.25e-06,1e-05,0,,77.00000000000001
104,gemini-2-5-pro-preview-05-06,google,gemini-2.5-pro-preview-05-06,77.00000000000001,,,1.25e-06,1e-05,0,,77.00000000000001
105,gemini-2-5-pro-preview-05-06,kilo,google/gemini-2.5-pro-preview-05-06,77.00000000000001,,,1.25e-06,1e-05,0,,77.00000000000001
106,gemini-2-5-pro-preview-05-06,nano-gpt,gemini-2.5-pro-preview-05-06,77.00000000000001,,,2.5e-06,1e-05,0,,77.00000000000001
107,kat-coder-pro-v1,nano-gpt,KAT-Coder-Pro-V1,74.69999999999999,,,1.5e-06,6e-06,0,,74.69999999999999
108,claude-4-5-opus,qiniu-ai,claude-4.5-opus,74.40000000000003,,,,,,,74.40000000000003
109,claude-4-5-opus,helicone,claude-4.5-opus,74.40000000000003,,,5e-06,2.5e-05,0,,74.40000000000003
110,claude-opus-4-1-thinking,nano-gpt,claude-opus-4-1-thinking,73.79840021023125,,,1.4993999999999999e-05,7.5004e-05,0,,73.79840021023125
111,claude-opus-4-1-thinking,nano-gpt,claude-opus-4-1-thinking:32768,73.79840021023125,,,1.4993999999999999e-05,7.5004e-05,0,,73.79840021023125
112,claude-opus-4-1-thinking,nano-gpt,claude-opus-4-1-thinking:1024,73.79840021023125,,,1.4993999999999999e-05,7.5004e-05,0,,73.79840021023125
113,claude-opus-4-1-thinking,nano-gpt,claude-opus-4-1-thinking:8192,73.79840021023125,,,1.4993999999999999e-05,7.5004e-05,0,,73.79840021023125
114,claude-opus-4-1-thinking,nano-gpt,claude-opus-4-1-thinking:32000,73.79840021023125,,,1.4993999999999999e-05,7.5004e-05,0,,73.79840021023125
115,intellect-3,cortecs,intellect-3,73.05718182341391,,,2.19e-07,1.2019999999999999e-06,0,,73.05718182341391
116,gpt-oss-20b,openrouter,openai/gpt-oss-20b:free,72.63625756508249,,,0.0,0.0,1,high,72.63625756508249
117,gpt-oss-20b,openrouter,openai/gpt-oss-20b,72.63625756508249,,,3e-08,1.4e-07,0,,72.63625756508249
118,gpt-oss-20b,io-net,openai/gpt-oss-20b,72.63625756508249,,,3e-08,1.4e-07,0,,72.63625756508249
119,gpt-oss-20b,fastrouter,openai/gpt-oss-20b,72.63625756508249,,,5.0000000000000004e-08,2.0000000000000002e-07,0,,72.63625756508249
120,gpt-oss-20b,deepinfra,openai/gpt-oss-20b,72.63625756508249,,,3e-08,1.4e-07,0,,72.63625756508249
121,gpt-oss-20b,nebius,openai/gpt-oss-20b,72.63625756508249,,,5.0000000000000004e-08,2.0000000000000002e-07,0,,72.63625756508249
122,gpt-oss-20b,qiniu-ai,gpt-oss-20b,72.63625756508249,,,,,,,72.63625756508249
123,gpt-oss-20b,novita-ai,openai/gpt-oss-20b,72.63625756508249,,,4e-08,1.5e-07,0,,72.63625756508249
124,gpt-oss-20b,groq,openai/gpt-oss-20b,72.63625756508249,,,7.5e-08,3e-07,0,,72.63625756508249
125,gpt-oss-20b,siliconflow,openai/gpt-oss-20b,72.63625756508249,,,4e-08,1.8e-07,0,,72.63625756508249
126,gpt-oss-20b,lmstudio,openai/gpt-oss-20b,72.63625756508249,,,0.0,0.0,1,high,72.63625756508249
127,gpt-oss-20b,firmware,gpt-oss-20b,72.63625756508249,,,7e-08,2.0000000000000002e-07,0,,72.63625756508249
128,gpt-oss-20b,ovhcloud,gpt-oss-20b,72.63625756508249,,,5.0000000000000004e-08,1.8e-07,0,,72.63625756508249
129,gpt-oss-20b,helicone,gpt-oss-20b,72.63625756508249,,,5e-08,2e-07,0,,72.63625756508249
130,gpt-oss-20b,vercel,openai/gpt-oss-20b,72.63625756508249,,,7e-08,3e-07,0,,72.63625756508249
131,gpt-oss-20b,kilo,openai/gpt-oss-20b:free,72.63625756508249,,,0.0,0.0,1,high,72.63625756508249
132,gpt-oss-20b,kilo,openai/gpt-oss-20b,72.63625756508249,,,3e-08,1.4e-07,0,,72.63625756508249
133,gpt-oss-20b,nano-gpt,openai/gpt-oss-20b,72.63625756508249,,,4e-08,1.5e-07,0,,72.63625756508249
134,gpt-oss-20b,chutes,openai/gpt-oss-20b,72.63625756508249,,,2e-08,1.0000000000000001e-07,0,,72.63625756508249
135,claude-opus-4-6,anthropic,claude-opus-4-6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
136,claude-opus-4-6,openrouter,anthropic/claude-opus-4.6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
137,claude-opus-4-6,zenmux,anthropic/claude-opus-4.6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
138,claude-opus-4-6,perplexity-agent,anthropic/claude-opus-4-6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
139,claude-opus-4-6,cloudflare-ai-gateway,anthropic/claude-opus-4-6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
140,claude-opus-4-6,opencode,claude-opus-4-6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
141,claude-opus-4-6,poe,anthropic/claude-opus-4.6,71.95152795137273,,,4.2999999999999995e-06,2.1e-05,0,,71.95152795137273
142,claude-opus-4-6,azure-cognitive-services,claude-opus-4-6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
143,claude-opus-4-6,aihubmix,claude-opus-4-6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
144,claude-opus-4-6,abacus,claude-opus-4-6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
145,claude-opus-4-6,github-copilot,claude-opus-4.6,71.95152795137273,,,0.0,0.0,1,rate_limited,71.95152795137273
146,claude-opus-4-6,venice,claude-opus-4-6,71.95152795137273,,,6e-06,3e-05,0,,71.95152795137273
147,claude-opus-4-6,firmware,claude-opus-4-6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
148,claude-opus-4-6,vercel,anthropic/claude-opus-4.6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
149,claude-opus-4-6,jiekou,claude-opus-4-6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
150,claude-opus-4-6,kilo,anthropic/claude-opus-4.6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
151,claude-opus-4-6,nano-gpt,anthropic/claude-opus-4.6:thinking:low,71.95152795137273,,,4.998e-06,2.5007000000000003e-05,0,,71.95152795137273
152,claude-opus-4-6,nano-gpt,anthropic/claude-opus-4.6:thinking,71.95152795137273,,,4.998e-06,2.5007000000000003e-05,0,,71.95152795137273
153,claude-opus-4-6,nano-gpt,anthropic/claude-opus-4.6:thinking:medium,71.95152795137273,,,4.998e-06,2.5007000000000003e-05,0,,71.95152795137273
154,claude-opus-4-6,nano-gpt,anthropic/claude-opus-4.6:thinking:max,71.95152795137273,,,4.998e-06,2.5007000000000003e-05,0,,71.95152795137273
155,claude-opus-4-6,nano-gpt,anthropic/claude-opus-4.6,71.95152795137273,,,4.998e-06,2.5007000000000003e-05,0,,71.95152795137273
156,claude-opus-4-6,azure,claude-opus-4-6,71.95152795137273,,,5e-06,2.5e-05,0,,71.95152795137273
157,qwen3-max,iflowcn,qwen3-max,71.78153608934987,,,0.0,0.0,1,high,71.78153608934987
158,qwen3-max,qiniu-ai,qwen3-max,71.78153608934987,,,,,,,71.78153608934987
159,qwen3-max,alibaba,qwen3-max,71.78153608934987,,,1.2e-06,6e-06,0,,71.78153608934987
160,qwen3-max,abacus,qwen3-max,71.78153608934987,,,1.2e-06,6e-06,0,,71.78153608934987
161,qwen3-max,alibaba-cn,qwen3-max,71.78153608934987,,,8.61e-07,3.4409999999999998e-06,0,,71.78153608934987
162,gpt-5-2,azure,azure/gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
163,gpt-5-2,openai,gpt-5.2,70.88386541450528,,1200.0,1.75e-06,1.4e-05,0,,70.88386541450528
164,gpt-5-2,openrouter,openai/gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
165,gpt-5-2,zenmux,openai/gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
166,gpt-5-2,perplexity-agent,openai/gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
167,gpt-5-2,qiniu-ai,openai/gpt-5.2,70.88386541450528,,,,,,,70.88386541450528
168,gpt-5-2,cloudflare-ai-gateway,openai/gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
169,gpt-5-2,opencode,gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
170,gpt-5-2,poe,openai/gpt-5.2,70.88386541450528,,,1.6000000000000001e-06,1.3e-05,0,,70.88386541450528
171,gpt-5-2,azure-cognitive-services,gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
172,gpt-5-2,aihubmix,gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
173,gpt-5-2,abacus,gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
174,gpt-5-2,302ai,gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
175,gpt-5-2,github-copilot,gpt-5.2,70.88386541450528,,,0.0,0.0,1,rate_limited,70.88386541450528
176,gpt-5-2,requesty,openai/gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
177,gpt-5-2,qihang-ai,gpt-5.2,70.88386541450528,,,2.5e-07,2e-06,0,,70.88386541450528
178,gpt-5-2,vercel,openai/gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
179,gpt-5-2,jiekou,gpt-5.2,70.88386541450528,,,1.575e-06,1.26e-05,0,,70.88386541450528
180,gpt-5-2,kilo,openai/gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
181,gpt-5-2,nano-gpt,openai/gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
182,gpt-5-2,azure,gpt-5.2,70.88386541450528,,,1.75e-06,1.4e-05,0,,70.88386541450528
183,o3-mini-high,openrouter,openai/o3-mini-high,70.82554195754437,,,1.1e-06,4.4e-06,0,,70.82554195754437
184,o3-mini-high,poe,openai/o3-mini-high,70.82554195754437,,,9.9e-07,4e-06,0,,70.82554195754437
185,o3-mini-high,kilo,openai/o3-mini-high,70.82554195754437,,,1.1e-06,4.4e-06,0,,70.82554195754437
186,o3-mini-high,nano-gpt,openai/o3-mini-high,70.82554195754437,,,6.4e-07,2.588e-06,0,,70.82554195754437
187,gemini-3-pro-preview,vertex_ai-language-models,gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
188,gemini-3-pro-preview,openrouter,google/gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
189,gemini-3-pro-preview,zenmux,google/gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
190,gemini-3-pro-preview,perplexity-agent,google/gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
191,gemini-3-pro-preview,aihubmix,gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
192,gemini-3-pro-preview,302ai,gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
193,gemini-3-pro-preview,github-copilot,gemini-3-pro-preview,70.81707212332901,,,0.0,0.0,1,rate_limited,70.81707212332901
194,gemini-3-pro-preview,google-vertex,gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
195,gemini-3-pro-preview,google,gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
196,gemini-3-pro-preview,vivgrid,gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
197,gemini-3-pro-preview,venice,gemini-3-pro-preview,70.81707212332901,,,2.5e-06,1.5e-05,0,,70.81707212332901
198,gemini-3-pro-preview,firmware,gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
199,gemini-3-pro-preview,requesty,google/gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
200,gemini-3-pro-preview,qihang-ai,gemini-3-pro-preview,70.81707212332901,,,5.699999999999999e-07,3.43e-06,0,,70.81707212332901
201,gemini-3-pro-preview,helicone,gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
202,gemini-3-pro-preview,vercel,google/gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
203,gemini-3-pro-preview,jiekou,gemini-3-pro-preview,70.81707212332901,,,1.8000000000000001e-06,1.08e-05,0,,70.81707212332901
204,gemini-3-pro-preview,kilo,google/gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
205,gemini-3-pro-preview,nano-gpt,gemini-3-pro-preview,70.81707212332901,,,2e-06,1.2e-05,0,,70.81707212332901
206,claude-4-5-sonnet,qiniu-ai,claude-4.5-sonnet,70.59999999999998,,,,,,,70.59999999999998
207,claude-4-5-sonnet,helicone,claude-4.5-sonnet,70.59999999999998,,,3e-06,1.5e-05,0,,70.59999999999998
208,claude-4-5-sonnet,cortecs,claude-4-5-sonnet,70.59999999999998,,,3.259e-06,1.6295999999999998e-05,0,,70.59999999999998
209,nvidia-nemotron-nano-9b-v2,bedrock_converse,nvidia.nemotron-nano-9b-v2,70.09999999999998,,,6e-08,2.3e-07,0,,70.09999999999998
210,nvidia-nemotron-nano-9b-v2,openrouter,nvidia/nemotron-nano-9b-v2:free,70.09999999999998,,,0.0,0.0,1,high,70.09999999999998
211,nvidia-nemotron-nano-9b-v2,openrouter,nvidia/nemotron-nano-9b-v2,70.09999999999998,,,4e-08,1.6e-07,0,,70.09999999999998
