rank,model_id,model_name,avg_reasoning_chat_score,benchmark_coverage,livebench_reasoning,livebench_overall,arena_elo
37,gpt-4-5-preview,gpt-4-5-preview,93.99010370409943,1,,,1415.0
38,gpt-5-chat,OpenAI: GPT-5 Chat,93.85655045307938,1,,,1413.0
39,gemini-2-5-flash,Google: Gemini 2.5 Flash,93.78977382756938,3,,,1412.0
40,qwen3-vl-235b-a22b-thinking,Qwen3 VL 235B A22B Thinking,93.72299720205937,1,,,1411.0
41,minimax-m2-5,MiniMax-M2.5,93.5226673255294,3,,,1408.0
42,mistral-medium-3-1,Mistral: Mistral Medium 3.1,93.1220075724693,2,,,1402.0
43,mimo-v2-flash,MiMo-V2-Flash,93.0552309469593,2,,,1401.0
44,minimax-m2-1,minimax-m2.1,92.92167769593932,3,,,1399.0
45,o1-preview,o1-preview,92.85490107042932,1,,,1398.0
46,glm-4-5-air,GLM-4.5-Air,92.05358156430925,3,,,1386.0
47,kimi-k2-0905-preview,kimi-k2-0905-preview,91.7864750622692,1,,,1382.0
48,qwen3-30b-a3b-instruct-2507,Qwen3 30b A3b Instruct 2507,91.7864750622692,3,,,1382.0
49,gpt-4-1-2025-04-14,gpt-4-1-2025-04-14,91.71969843675917,1,,,1381.0
50,qwen-vl-max-2025-01-25,Qwen VL-MAX-2025-01-25,91.71969843675917,1,,,1381.0
51,kimi-k2-0711-preview,Kimi K2 0711,91.65292181124917,1,,,1380.0
52,claude-haiku-4-5,Anthropic: Claude Haiku 4.5,91.51936856022915,2,,,1378.0
53,gpt-5-mini,OpenAI: GPT-5 Mini,91.31903868369913,3,,,1375.0
54,qwen3-235b-a22b,Qwen 3 235B A22B,90.91837893063908,2,,,1369.0
55,gpt-oss-120b,OpenAI: gpt-oss-120b (free),90.85160230512915,4,,,1368.0
56,claude-opus-4,Anthropic: Claude Opus 4,90.71804905410907,2,,,1366.0
57,o4-mini-2025-04-16,o4-mini-2025-04-16,90.4509425520691,1,,,1362.0
58,step-3,Step-3,90.31738930104905,1,,,1360.0
59,qwen3-coder-480b-a35b-instruct,Qwen3 Coder 480B A35B Instruct,90.18383605002902,3,,,1358.0
60,nvidia-nemotron-3-super-120b-a12b,NVIDIA: Nemotron 3 Super (free),90.11705942451906,1,,,1357.0
61,intellect-3,INTELLECT 3,89.98350617349904,2,,,1355.0
62,minimax-m1,MiniMax M1,89.71639967145903,2,,,1351.0
63,qwen3-32b,Qwen3-32B,89.11541004186894,2,,,1342.0
64,gpt-4-1-mini-2025-04-14,OpenAI GPT-4.1 Mini,88.84830353982895,1,,,1338.0
65,o3-mini-high,OpenAI: o3 Mini High,88.84830353982895,2,,,1338.0
66,gemini-2-5-flash-lite,Google: Gemini 2.5 Flash Lite,88.78152691431893,2,,,1337.0
67,mistral-small-2506,Mistral Small 3.2,88.78152691431893,2,,,1337.0
68,claude-sonnet-4,Anthropic: Claude Sonnet 4,88.64797366329891,2,,,1335.0
69,gpt-5-nano,OpenAI: GPT-5 Nano,88.51442041227887,2,,,1333.0
70,glm-4-plus-0111,GLM 4 Plus 0111,88.44764378676888,1,,,1332.0
71,gemini-2-0-flash-lite,Gemini 2.0 Flash Lite,88.3140905357489,2,,,1330.0
72,command-a,Cohere: Command A,88.11376065921883,2,,,1327.0
73,nvidia-llama-3-1-nemotron-ultra-253b-v1,Llama-3.1-Nemotron-Ultra-253B-v1,87.71310090615884,1,,,1321.0
74,step-2-16k-exp,Step-2 16k Exp,87.71310090615884,1,,,1321.0
75,qwen3-30b-a3b,Qwen3 30B A3B,87.64632428064878,2,,,1320.0
76,o1-mini,o1-mini,87.51277102962877,1,,,1318.0
77,o3-mini,OpenAI: o3 Mini,87.51277102962877,2,,,1318.0
78,gpt-oss-20b,OpenAI: gpt-oss-20b (free),87.3124411530988,2,,,1315.0
79,nvidia-llama-3-3-nemotron-super-49b-v1,Llama 3.3 Nemotron Super 49b V1,86.9785580255487,2,,,1310.0
80,allenai-olmo-3-32b-think,AllenAI: Olmo 3 32B Think,86.7114515235087,2,,,1306.0
81,gemma-3n-e4b-it,Google: Gemma 3n 4B (free),86.5778982724887,2,,,1304.0
82,claude-3-7-sonnet,Anthropic: Claude 3.7 Sonnet,86.3775683959587,3,,,1301.0
83,deepseek-v3-2-251201,deepseek-v3-2-251201,86.04368526840867,1,,,1296.0
84,glm-4-plus,GLM-4 Plus,85.77657876636863,1,,,1292.0
85,gpt-4-1-nano-2025-04-14,gpt-4-1-nano-2025-04-14,85.44269563881859,1,,,1287.0
86,llama-3-1-405b-instruct,Llama 3.1 405B Instruct,85.24236576228853,2,,,1284.0
87,yi-lightning,Yi Lightning,85.24236576228853,1,,,1284.0
88,claude-3-5-sonnet,Anthropic: Claude 3.5 Sonnet,85.1755891367786,2,,,1283.0
89,llama-3-3-70b-instruct,Llama-3.3-70B-Instruct,84.7081527582085,2,,,1276.0
90,llama-4-scout-17b-16e-instruct,Llama 4 Scout 17B 16E Instruct,84.7081527582085,1,,,1276.0
91,deepseek-v3-1,DeepSeek-V3.1,84.64137613269848,2,,,1275.0
92,mistral-small-3-1-24b-instruct-2503,Mistral Small 3.1 24b Instruct 2503,84.24071637963844,1,,,1269.0
93,claude-3-opus,Claude Opus 3,83.97360987759843,1,,,1265.0
94,llama-3-3-70b,Llama 3.3 70B,83.63972675004838,1,,,1260.0
95,claude-3-5-haiku,Anthropic: Claude 3.5 Haiku,83.37262024800837,2,,,1256.0
96,mistral-medium-2505,Mistral Medium 3,83.17229037147834,1,,,1253.0
97,jamba-1-5-large,jamba-1-5-large,82.43774749086828,1,,,1242.0
98,qwen-plus,Qwen Plus,82.43774749086828,1,,,1242.0
99,mistral-small-24b-instruct-2501,Mistral: Mistral Small 3,82.17064098882825,2,,,1238.0
100,deepseek-deepseek-prover-v2-671b,Deepseek Prover V2 671B,82.10386436331825,1,,,1237.0
101,yi-large,Yi Large,82.03708773780826,1,,,1236.0
102,glm-4-5,GLM-4.5,81.63642798474822,2,,,1230.0
103,c4ai-aya-expanse-32b,Aya Expanse 32B,81.56965135923821,1,,,1229.0
104,nvidia-nemotron-4-340b-instruct,Nemotron 4 340b Instruct,81.56965135923821,1,,,1229.0
105,meta-llama3-70b-instruct-v1,Llama 3 70B Instruct,81.23576823168817,2,,,1224.0
106,allenai-olmo-2-0325-32b-instruct,AllenAI: Olmo 2 32B Instruct,81.1689916061782,1,,,1223.0
107,claude-3-sonnet,Claude Sonnet 3,81.1689916061782,1,,,1223.0
108,o1-preview-2024-09-12,o1-preview-2024-09-12,80.43268503866214,1,83.16666666666667,77.35642370713192,
109,claude-3-haiku,Anthropic: Claude 3 Haiku,79.63312921944801,2,,,1200.0
110,glm-4-6,GLM-4.6,79.49957596842802,4,,,1198.0
111,ministral-8b-2512,Mistral: Ministral 3 8B 2512,79.49957596842802,1,,,1198.0
112,deepseek-ai-deepseek-coder-6-7b-instruct,Deepseek Coder 6.7b Instruct,79.366022717408,1,,,1196.0
113,c4ai-aya-expanse-8b,Aya Expanse 8B,79.16569284087798,1,,,1193.0
114,jamba-1-5-mini,jamba-1-5-mini,79.16569284087798,1,,,1193.0
115,o1-2024-12-17,o1-2024-12-17,78.75775466650695,2,80.86666666666666,64.75460168276848,1366.0
116,meta-llama3-8b-instruct,Llama3 8b Instruct,77.69660707965787,2,,,1171.0
117,mistral-medium-3,Mistral: Mistral Medium 3,77.69660707965787,2,,,1171.0
118,command-r,Cohere: Command R,77.56305382863783,1,,,1169.0
119,mixtral-8x22b-instruct-v0-1,Mixtral 8x22B,77.4962772031278,2,,,1168.0
120,ollama-internlm2-5-20b-chat,ollama-internlm2-5-20b-chat,77.4962772031278,1,,,1168.0
121,gemma-2-2b-it,Gemma 2 2b It,77.16239407557775,1,,,1163.0
122,llama-3-1-8b-instruct,Llama 3.1 8B Instruct,76.82851094802778,2,,,1158.0
123,anthropic-claude-v2,Claude 2,76.02719144190765,1,,,1146.0
124,gpt-3-5-turbo-0613,OpenAI: GPT-3.5 Turbo (older v0613),75.96041481639767,1,,,1145.0
125,qwen2-5-32b-eva-v0-2,Qwen 2.5 32b EVA,75.89363819088764,1,,,1144.0
126,deepseek-r1-0528,DeepSeek-R1-0528,75.70055245564825,3,85.71666666666667,50.41353884372185,1426.0
127,gpt-3-5-turbo-0301,GPT-3.5 Turbo 0301,75.49297843782763,1,,,1138.0
128,mixtral-8x7b-instruct-v0-1,Mixtral-8x7B-Instruct-v0.1,75.49297843782763,2,,,1138.0
129,anthropic-claude-instant-v1,Claude Instant,75.29264856129761,1,,,1135.0
130,core42-jais-30b-chat,JAIS 30b Chat,75.22587193578757,1,,,1134.0
131,deepseek-v3-0324,DeepSeek-V3-0324,74.31849412205962,3,86.78333333333333,48.68762615307992,1377.0
132,claude-sonnet-4-5-20250929-thinking,claude-sonnet-4-5-20250929-thinking,74.29704275589762,1,85.68333333333334,62.91089997143069,
133,snowflake-jamba-instruct,snowflake-jamba-instruct,73.55645629803742,1,,,1109.0
134,ibm-granite-granite-3-3-8b-instruct,ibm-granite-granite-3-3-8b-instruct,73.48967967252743,1,,,1108.0
135,chatgpt-4o-latest,ChatGPT-4o-Latest,72.88951832818641,2,75.63596491228071,51.381089177575156,1427.0
136,pplx-70b-online,pplx-70b-online,72.88869004293736,1,,,1099.0
137,mistral-7b-instruct-v0-1,Mistral: Mistral 7B Instruct v0.1,72.75513679191737,2,,,1097.0
138,deepseek-r1,DeepSeek-R1,72.64314650802673,3,80.6,49.35652878159675,1373.0
139,qwq-32b,Qwen: QwQ 32B,72.5584948179007,3,85.3,47.6855029491361,1332.0
140,llama-2-70b-chat,llama-2-70b-chat,72.4880302898773,2,,,1093.0
141,cognitivecomputations-dolphin3-0-r1-mistral-24b,Dolphin3.0 R1 Mistral 24B,72.15414716232728,1,,,1088.0
142,hunyuan-turbos-20250226,Hunyuan Turbo S,71.6020059063623,2,83.2,47.7242287759912,1314.0
143,qwen-max,Qwen Max,71.57782472381555,3,76.63333333333334,58.42382121736585,1199.0
144,gpt-5-3-chat,OpenAI: GPT-5.3 Chat,71.35282765620723,1,,,1076.0
145,gemini-2-0-flash-thinking-exp-01-21,Gemini 2.0 Flash Thinking 0121,71.24776359496688,2,81.68333333333334,44.63483833148636,1397.0
146,codellama-34b-instruct,codellama-34b-instruct,71.15249777967722,1,,,1073.0
147,llama-4-maverick-17b-128e-instruct-fp8,Llama-4-Maverick-17B-128E-Instruct-FP8,69.85444933102353,2,79.58333333333333,47.21618835640245,1292.0
148,gemini-2-0-pro-exp-02-05,Gemini 2.0 Pro 0205,69.70648976598495,2,82.75,51.09692581370475,1155.0
149,gemini-2-0-flash-exp,Gemini 2.0 Flash Experimental (free),69.63380648709754,2,80.5,43.03676593664119,1370.0
150,claude-3-7-sonnet-20250219,Claude Sonnet 3.7,69.52618703172541,1,77.88333333333333,60.90266182353985,
151,gpt-4-1106-preview,OpenAI: GPT-4 Turbo (older v1106),69.19182929359651,2,77.08333333333334,48.576213503594715,1267.0
152,deepseek-v3,DeepSeek-V3,69.07176077707928,2,75.51666666666667,46.56432815894652,1334.0
153,gemini-exp-1206,Gemini 2.0 Pro 1206,68.84231330631842,1,83.2,55.19201791150496,
154,gpt-4o-2024-05-13,OpenAI: GPT-4o (2024-05-13),68.47434565720974,2,69.58333333333333,51.2048206103748,1302.0
155,gemini-1-5-pro,Gemini 1.5 Pro,67.48932606911735,2,76.29385964912281,43.12109649926111,1320.0
156,gpt-4o-audio-preview-2024-12-17,gpt-4o-audio-preview-2024-12-17,67.36696108465098,1,72.33333333333333,62.00216399367221,
157,grok-3-beta,Grok 3 Beta,65.45388325975418,1,74.91111111111111,55.91857894215053,
158,gemma-3-27b-it,Google: Gemma 3 27B (free),65.30917244182743,2,71.5,40.394691181189124,1356.0
159,gpt-4-turbo-2024-04-09,gpt-4-turbo-2024-04-09,64.75558683425479,2,68.35526315789474,44.48125414177384,1275.0
160,sonar-pro,Perplexity: Sonar Pro,64.46284375516595,2,61.016666666666666,68.73014695544596,
161,mistral-large-2411,Mistral Large 2411,64.11728415646408,3,69.88333333333334,42.173416753055264,1269.0
162,step-2-16k,Step 2 (16K),63.98051531289365,1,87.71111111111111,44.27987384437781,
163,gemini-2-0-flash-001,Google: Gemini 2.0 Flash,63.70149648667237,1,85.53333333333333,45.16821335690235,
164,amazon-nova-pro-v1,Amazon: Nova Pro 1.0,63.57647523243232,2,70.13333333333334,41.09476366415538,1262.0
165,llama-3-1-70b-instruct,llama-3-1-70b-instruct,63.27545708867508,3,66.71666666666667,42.757366358171296,1265.0
166,claude-3-5-sonnet-20241022,Claude Sonnet 3.5 v2,62.92940405957431,1,69.16666666666667,56.3598532725614,
167,oci-meta-llama-3-3-70b-instruct,oci-meta-llama-3-3-70b-instruct,62.00705496319013,1,86.85897435897435,41.84773090488424,
168,gpt-4-0125-preview,gpt-4-0125-preview,61.39374833441984,2,64.70394736842104,40.033652192499424,1266.0
169,gpt-4o-2024-08-06,OpenAI: GPT-4o (2024-08-06),61.35003491901443,1,72.89473684210526,50.17105456088697,
170,o3-mini-2025-01-31,o3-mini-2025-01-31,61.267764673837284,1,79.85,44.979573857124095,
171,qwen-qwen2-5-72b-instruct-128k,Qwen/Qwen2.5-72B-Instruct-128K,60.713409192479205,1,92.1474358974359,37.31523773303377,
172,gemini-1-5-flash,Gemini 1.5 Flash,60.45342904856998,2,82.77412280701753,27.907361648017037,1290.0
173,sonar,Perplexity: Sonar,60.04480579135706,2,79.3111111111111,43.39840381146086,
174,gemini-gemini-exp-1114,gemini-gemini-exp-1114,59.493599874818926,1,81.8640350877193,40.99619335607232,
175,nvidia-llama-3-1-nemotron-51b-instruct,Llama 3.1 Nemotron 51b Instruct,59.48689268741425,3,69.66666666666667,34.1661574008996,1231.0
176,gpt-4o-2024-11-20,OpenAI: GPT-4o (2024-11-20),59.441096337979445,1,70.12061403508771,49.01941171292318,
177,gemini-1-5-flash-8b,Gemini 1.5 Flash-8B,59.25744417969244,2,77.98245614035088,29.571116314530148,1231.0
178,gemma-2-27b-it,Google: Gemma 2 27B,59.25140555996665,2,68.8157894736842,34.04192708263709,1236.0
179,meta-llama-meta-llama-3-1-405b-instruct-turbo,Llama 3.1 405B Instruct Turbo,59.10281931052211,1,78.2,42.632737203509514,
180,gemini-2-0-flash-thinking-exp-1219,Gemini 2.0 Flash Thinking 1219,58.75060209581019,1,75.91666666666667,43.564564584092516,
181,gpt-4o-mini-2024-07-18,OpenAI: GPT-4o-mini (2024-07-18),58.59362403350221,2,65.80043859649123,32.89693930538648,1289.0
182,grok-beta,Grok Beta,58.44903013532549,1,70.46666666666667,46.993358802573994,
183,gemini-2-5-flash-lite-preview-09-2025,Google: Gemini 2.5 Flash Lite Preview 09-2025,58.39851782292312,2,84.2,38.107153854117,
184,qwen2-5-72b-instruct,Qwen2.5 72B Instruct,58.01567467852466,3,,39.78180815931798,1208.0
185,grok-2-1212,Grok 2 (1212),58.01499520275546,1,67.85,48.327656674615596,
186,grok-3-mini,Grok 3 Mini,57.96285606230533,2,80.66666666666667,39.416802064074375,
187,o1-mini-2024-09-12,o1-mini-2024-09-12,57.889427162846594,1,70.56666666666666,45.947883261853015,
188,phi-3-small-8k-instruct,Phi-3-small-instruct (8k),57.20435205626277,2,44.166666666666664,,1117.0
189,qwen2-5-coder-32b-instruct,Qwen2.5-Coder-32B-Instruct,56.777239728523114,4,,36.9923210946011,1235.0
190,learnlm-1-5-pro-experimental,Gemini LearnLM Experimental,54.908597276116204,1,70.3,41.156605116947034,
191,gemma-3-12b-it,Google: Gemma 3 12B (free),54.80265052465888,2,,31.269656186617635,1335.0
192,phi-3-medium-4k-instruct,Phi-3-medium-instruct (4k),54.77525441729831,2,39.53333333333333,,1144.0
193,gemini-2-0-flash-lite-001,Google: Gemini 2.0 Flash Lite,54.45430439382031,1,78.45,35.56679179150522,
194,deepseek-chat,DeepSeek Chat,53.98932714772469,2,65.15350877192982,30.161682071968627,1111.0
195,amazon-nova-lite-v1,Amazon: Nova Lite 1.0,52.65831525273263,2,57.10000000000001,28.644500683390394,1233.0
196,grok-2,Grok 2,52.253481777081916,1,73.66666666666667,35.00258760308525,
197,phi-4,Phi-4,52.11283085381268,3,54.79999999999999,29.333692280977804,1222.0
198,gemini-2-0-flash,Gemini 2.0 Flash,52.080723187357606,3,,52.08072318735761,
199,claude-3-5-haiku-20241022,Claude Haiku 3.5,51.97865604240123,1,65.76754385964912,39.500934776644485,
200,grok-3,Grok 3,51.43813637440004,2,,51.43813637440003,
201,gemma-2-9b-it,Google: Gemma 2 9B,50.14695405115294,2,56.62280701754385,25.054687811771046,1213.0
202,grok-3-mini-fast-beta,Grok 3 Mini Fast Beta,49.31987024318258,1,62.36666666666667,37.50618429578738,
203,abacusai-dracarys-72b-instruct,Llama 3.1 70B Dracarys 2,48.08549466498872,1,63.6,34.70008638145451,
204,hermes-3-llama-3-1-405b,Hermes 3 Llama 3.1 405b,48.008640815938236,1,51.5,44.23339660520453,
205,deepseek-r1-distill-qwen-32b,DeepSeek R1 Distill Qwen 32B,47.1140481605652,2,69.61666666666666,29.876323339187334,
206,deepseek-r1-distill-llama-70b,DeepSeek R1 Distill Llama 70B,47.01936677169816,2,70.21666666666667,29.450054613298327,
207,mistral-small-2503,Mistral Small 3.1,47.00943748478113,1,62.416666666666664,33.77149483866157,
208,deepseek-r1-sambanova,DeepSeek R1 Fast,46.536457094716646,1,,46.536457094716646,
209,command-r-plus-08-2024,Cohere: Command R+ (08-2024),44.29620421791783,1,59.9780701754386,31.10304257935153,
210,amazon-nova-micro-v1,Amazon: Nova Micro 1.0,43.17966922795549,2,41.2,22.009397514033136,1215.0
211,open-mistral-7b,Mistral 7B,40.116238182661355,2,66.34615384615384,11.10149533659844,1100.0
212,meta-llama3-2-11b-instruct-v1,Llama 3.2 11B Instruct,39.55924732689695,3,66.78333333333333,10.898162464571522,1067.0
213,command-r-08-2024,Cohere: Command R (08-2024),39.21551304842755,1,62.86184210526316,22.6138148380148,
214,gemma-3-4b-it,Google: Gemma 3 4B (free),38.4439787748745,3,,15.059258221977432,1293.0
215,nvidia-llama-3-1-nemotron-70b-instruct-hf,Nvidia Nemotron 70b,37.867939463275476,1,52.849999999999994,25.666666666666664,
216,llama-3-1-8b-instruct-turbo,Meta Llama 3.1 8B Instruct Turbo,37.21775532513909,1,57.05,22.611382954183682,
217,command-a-03-2025,Command A,36.69621182182429,1,,36.696211821824285,
218,open-mixtral-8x22b,Mixtral 8x22B,36.68112050723515,1,51.68333333333332,24.587630870922112,
219,gemma-3-1b-it,Gemma 3 1b It,36.57534399460576,2,53.36538461538461,10.495367548114178,1102.0
220,magistral-small-2509,Magistral Small 1.2 24B,36.49902097087652,2,46.11666666666667,27.78273989481635,
221,phi-3-small-128k-instruct,Phi-3-small-instruct (128k),36.187471807001444,1,74.19871794871796,15.65838826690884,
222,phi-3-5-moe-instruct,Phi-3.5-MoE-instruct,34.620478302443686,1,62.82051282051282,17.275736883404573,
223,qwen2-5-math-72b-instruct,Qwen2.5-Math 72B Instruct,34.602313719277454,1,54.333333333333336,20.44013346433975,
224,phi-3-medium-128k-instruct,Phi-3-medium-instruct (128k),32.40510259665315,1,72.75641025641026,12.61283055618814,
225,mamba-codestral-7b-v0-1,Mamba Codestral 7b V0.1,31.460246463936524,1,57.99999999999999,15.41056643983203,
226,phi-3-5-mini-instruct,Phi-3.5-mini-instruct,28.108563560855345,1,71.15384615384616,9.511572067738522,
227,gemini-2-5-pro-exp-03-25,Gemini 2.5 Pro Experimental 0325,27.260451750852063,2,80.95,65.92561350224724,71.96
228,mistral-7b-instruct-v0-3,Mistral-7B-Instruct-v0.3,26.299152585037056,1,53.044871794871796,11.599960151515702,
229,ollama-deepseek-coder-v2-lite-instruct,ollama-deepseek-coder-v2-lite-instruct,25.894620593003644,1,55.769230769230774,10.58019323478397,
230,claude-3-5-sonnet-20240620,Claude 3.5 Sonnet (2024-06-20),25.16614008267271,2,70.625,52.17941447773491,79.35
231,phi-3-mini-4k-instruct,Phi-3-mini-instruct (4k),24.138704594248505,2,34.266666666666666,4.5,1082.0
232,claude-3-opus-20240229,Claude Opus 3,22.038112857759472,2,65.09868421052632,52.73302947210116,60.36
233,mistral-large-2407,Mistral Large 2407,21.21632591838024,3,66.77777777777779,36.8077893078421,70.42
234,qwen2-5-7b-instruct,Qwen2.5 7B Instruct,20.820694745682935,1,,20.82069474568294,
235,gpt-4-0613,gpt-4-0613,18.480856718194456,2,71.7948717948718,49.85597115178286,37.9
236,claude-3-sonnet-20240229,Claude Sonnet 3,17.91547141497612,2,63.621794871794876,38.369023555846276,46.8
237,mistral-large-2402,mistral-large-2402,15.511260007328005,2,71.0,28.37580696098924,37.71
238,claude-3-haiku-20240307,Anthropic: Claude 3 Haiku,14.56249364627432,2,55.70175438596492,26.616535570954657,41.47
239,gpt-3-5-turbo-0125,GPT-3.5 Turbo 0125,12.077372296902565,2,74.51923076923077,24.709282148650924,23.34
240,mistral-nemo,Mistral: Mistral Nemo,10.350460249406751,2,62.33333333333334,13.973375388775402,27.37
241,gpt-3-5-turbo-1106,GPT-3.5 Turbo 1106,9.927139622753417,2,51.28205128205129,29.241744210769177,18.87
242,phi-3-mini-128k-instruct,Phi-3-mini-instruct (128k),5.061873913185121,2,40.7,6.166666666666666,15.43
243,trinity-large-preview-free,Trinity Large Preview,4.274371798895516,1,,,71.48
244,deepseek-r1-v1,DeepSeek-R1,3.6613623767136554,1,,,62.3
245,gemini-2-5-pro-preview,Google: Gemini 2.5 Pro Preview 06-05,3.065047110909297,1,,,53.37
246,glm-4-air,GLM-4 Air,2.898773313389382,1,,,50.88
247,gpt-4-0314,OpenAI: GPT-4 (older v0314),2.8400098829405755,1,,,50.0
248,mistral-large,Mistral Large,1.8621874864373211,2,,1.8621874864373211,
249,command-r-plus,command-r-plus,1.7094816130561659,1,,,33.07
250,mistral-7b-instruct,Mistral 7B Instruct (free),0.34056079010103313,1,,,12.57
251,gemma-7b-it,gemma-7b-it,1.0000000000000004e-06,1,,,7.47
252,*-1-month-commitment-cohere-command-light-text-v14,*-1-month-commitment-cohere-command-light-text-v14,,0,,,
253,*-1-month-commitment-cohere-command-text-v14,*-1-month-commitment-cohere-command-text-v14,,0,,,
254,*-6-month-commitment-cohere-command-light-text-v14,*-6-month-commitment-cohere-command-light-text-v14,,0,,,
255,*-6-month-commitment-cohere-command-text-v14,*-6-month-commitment-cohere-command-text-v14,,0,,,
256,1024-x-1024-50-steps-bedrock-amazon-nova-canvas-v1,1024-x-1024-50-steps-bedrock-amazon-nova-canvas-v1,,0,,,
257,1024-x-1024-50-steps-stability-stable-diffusion-xl-v1,1024-x-1024-50-steps-stability-stable-diffusion-xl-v1,,0,,,
258,1024-x-1024-dall-e-2,1024-x-1024-dall-e-2,,0,,,
259,1024-x-1024-gpt-image-1-5,1024-x-1024-gpt-image-1-5,,0,,,
260,1024-x-1024-gpt-image-1-5-2025-12-16,1024-x-1024-gpt-image-1-5-2025-12-16,,0,,,
261,1024-x-1024-max-steps-stability-stable-diffusion-xl-v1,1024-x-1024-max-steps-stability-stable-diffusion-xl-v1,,0,,,
262,1024-x-1536-gpt-image-1-5,1024-x-1536-gpt-image-1-5,,0,,,
263,1024-x-1536-gpt-image-1-5-2025-12-16,1024-x-1536-gpt-image-1-5-2025-12-16,,0,,,
264,1536-x-1024-gpt-image-1-5,1536-x-1024-gpt-image-1-5,,0,,,
265,1536-x-1024-gpt-image-1-5-2025-12-16,1536-x-1024-gpt-image-1-5-2025-12-16,,0,,,
266,256-x-256-dall-e-2,256-x-256-dall-e-2,,0,,,
267,512-x-512-50-steps-stability-stable-diffusion-xl-v0,512-x-512-50-steps-stability-stable-diffusion-xl-v0,,0,,,
268,512-x-512-dall-e-2,512-x-512-dall-e-2,,0,,,
269,512-x-512-max-steps-stability-stable-diffusion-xl-v0,512-x-512-max-steps-stability-stable-diffusion-xl-v0,,0,,,
270,@cf-ai4bharat-indictrans2-en-indic-1b,IndicTrans2 EN-Indic 1B,,0,,,
271,@cf-aisingapore-gemma-sea-lion-v4-27b-it,Gemma SEA-LION v4 27B IT,,0,,,
272,@cf-baai-bge-base-en-v1-5,BGE Base EN v1.5,,0,,,
273,@cf-baai-bge-large-en-v1-5,BGE Large EN v1.5,,0,,,
274,@cf-baai-bge-m3,BGE M3,,0,,,
275,@cf-baai-bge-reranker-base,BGE Reranker Base,,0,,,
276,@cf-baai-bge-small-en-v1-5,BGE Small EN v1.5,,0,,,
